	xx	内容		状況	xx	1200にある	
500	066	ログインし直してください。	1	★	请重新登录。	SAP・IT	
500	067	キャッシュを削除してください。	1	★★	请清除缓存。	SAP・IT	
500	068	エラーが再現しました。	1	★★	错误复现了。	SAP・IT	
500	069	エラーメッセージを送ってください。	1	★★	请发送错误信息。	SAP・IT	
500	070	スクリーンショットをお願いします。	1	★★	请提供截图。	SAP・IT	お願いします
500	071	SE16Nで確認します。	1	★★	在SE16N确认。	SAP・IT	
500	072	ブレークポイントを設定します。	1	★★	设置断点。	SAP・IT	
500	073	Transportをリリースします。	1	★★	释放Transport。	SAP・IT	
500	074	既知の問題です。(きち)	1	★	这是已知问题。	SAP・IT	
500	075	初めて発生した事象です。	1	★★	这是首次发生。	SAP・IT	
500	076	原因を特定しました。	1	★	已经定位原因。	SAP・IT	
500	077	再発防止を検討します。	1	★	研究防止再次发生。	SAP・IT	
500	078	暫定対応を実施します。	1	★★	先采取临时措施。	SAP・IT	
500	079	恒久対応を検討します。(こうきゅう)	1	★	研究永久解决方案。	SAP・IT	
500	080	回避策があります。	1	★	有规避方法。	SAP・IT	があります
500	081	回避策はありません。（かいひさく）	1	★★	没有规避方法。	SAP・IT	
500	082	結合テストを実施します。	1	★	执行集成测试。	SAP・IT	
500	083	不具合票を登録します。	1	★★	登记Bug单。	SAP・IT	
500	084	インシデントを登録します。	1	★	登记Incident。	SAP・IT	
500	085	チケットを起票します。	1	★★	创建Ticket。	SAP・IT	
500	086	チケットを更新します。	1	★★	更新Ticket。	SAP・IT	
500	087	優先度は低いです。	1	★★	优先级低。	SAP・IT	
500	088	緊急対応です。（きんきゅう）	2	★★	紧急处理。	SAP・IT	急ぎ、緊急、至急、応急、急いで、急に
500	089	今日中に対応します。	1	★★	今天处理。	SAP・IT	
500	090	少し時間をいただけますか。	1	★	可以给我一点时间吗？	SAP・IT	いただけますか
500	091	確認後、ご連絡します。	1	★★	确认后联系您。	SAP・IT	ご連絡します
500	092	再度ご確認ください。	1	★★	请再次确认。	SAP・IT	再度、ご確認ください
500	093	こちらで問題は解消しました。(かいしょう)	1	★	我们这里问题已解决。	SAP・IT	
500	094	引き続き監視します。	1	★	继续观察。	SAP・IT	引き続き
500	095	今後ともよろしくお願いいたします。(こんご)	1	★	今后也请多关照。	SAP・IT	
500	096	お時間をいただけますか。	1	★	可以占用您一点时间吗？	報告・連絡・相談	いただけますか
500	097	ご報告があります。	1	★★	我有件事要汇报。	報告・連絡・相談	があります
500	098	早速ですが、本題に入ります。	1	★	那么，我直接进入正题。	報告・連絡・相談	
500	099	まず結論から申し上げます。	1	★★	先说结论。	報告・連絡・相談	申し上げます
500	100	現状をご報告します。	1	★★	汇报一下现状。	報告・連絡・相談	
500	101	進捗をご報告します。	1	★★	汇报一下进度。	報告・連絡・相談	
500	102	現在の状況は以下のとおりです。	1	★★	目前情况如下。	報告・連絡・相談	
500	103	予定より遅れています。	1	★★	比计划晚。	報告・連絡・相談	遅い、遅れる、遅延
500	104	遅れる見込みです。	1	★★	预计会延期。	報告・連絡・相談	遅い、遅れる、遅延
500	105	急ぎで対応します。	2	★★	紧急处理。	報告・連絡・相談	急ぎ、緊急、至急、応急、急いで、急に
500	106	本日中に完了予定です。	1	★★	预计今天完成。	報告・連絡・相談	
500	107	確認が終わり次第、ご連絡します。	2	★★	确认完后联系您。	報告・連絡・相談	次第、ご連絡します
500	108	進展がありましたら共有します。	1	★	有进展会共享。	報告・連絡・相談	
500	109	ご意見をお願いします。	1	★★	请提出意见。	報告・連絡・相談	お願いします
500	110	ご承認をお願いします。	1	★★	请批准。	報告・連絡・相談	お願いします
500	111	ご迷惑をおかけして申し訳ありません。	1	★	给您添麻烦了，非常抱歉。	報告・連絡・相談	おかけし
500	112	ご不便をおかけしております。	1	★	给您带来不便了。	報告・連絡・相談	ております、おかけし
500	113	ご心配をおかけしました。	1	★★	让您担心了。	報告・連絡・相談	おかけし
500	114	最新版を添付します。(てんぷ)	1	★★	附上最新版。	報告・連絡・相談	
500	115	修正版を送付します。（そうふ）	1	★★	发送修正版。	報告・連絡・相談	
500	116	チャットで送ります。	1	★★	通过聊天发送。	報告・連絡・相談	
500	117	本日の議題はこちらです。（ぎだい）	1	★★	今天的议题如下。	報告・連絡・相談	
500	118	何かご意見はありますか。	1	★★	有什么意见吗？	報告・連絡・相談	
500	119	具体例をご説明します。	1	★★	举个具体例子。	報告・連絡・相談	説明します
500	120	少し詳しくご説明します。	1	★★	详细说明一下。	報告・連絡・相談	説明します
500	121	ここまででご不明点はありますか。	1	★★	到这里有什么疑问吗？	報告・連絡・相談	
500	122	認識を合わせたいと思います。	1	★★	想统一一下理解。	報告・連絡・相談	合わせ、たいと思います
500	123	私の認識では、このように理解しています。	1	★★	按我的理解，是这样。	報告・連絡・相談	
500	124	認識に違いがありました。	1	★	理解有差异。	報告・連絡・相談	違う、違い、間違い、相違、勘違い
500	125	改めて整理します。(あらためて)	2	★	我重新整理一下。	報告・連絡・相談	改め、改めまして
500	126	次のアクションを確認します。	1	★★	确认下一步行动。	報告・連絡・相談	を確認します
500	127	担当者を決めましょう。	1	★★	决定负责人吧。	報告・連絡・相談	
500	128	期限を決めましょう。	1	★★	决定截止时间吧。	報告・連絡・相談	
500	129	こちらはお願いできますか。	1	★★	这部分可以拜托您吗？	報告・連絡・相談	
500	130	私の担当は以上です。	1	★★	我负责的部分结束了。	報告・連絡・相談	
500	131	議事録を作成します。	1	★★	我来做会议纪要。	報告・連絡・相談	
500	132	次回確認しましょう。	1	★★	下次再确认。	報告・連絡・相談	
500	133	必要に応じて対応します。	1	★	根据需要处理。	報告・連絡・相談	
500	134	追加で確認します。	1	★★	追加确认。	報告・連絡・相談	
500	135	再度調査します。	1	★	再次调查。	報告・連絡・相談	再度
500	136	一旦保留にします。	1	★★	暂时保留。	報告・連絡・相談	一旦
500	137	一旦見送ります。	1	★	暂时不实施。	報告・連絡・相談	一旦
500	138	こちらの案で進めましょう。	1	★★	按这个方案进行吧。	報告・連絡・相談	
500	139	異論はありません。(いろん)	1	★★	没有异议。	報告・連絡・相談	
500	140	反対ではありません。	1	★★	我不反对。	報告・連絡・相談	
500	141	少し気になる点があります。	1	★	有一点担心。	報告・連絡・相談	があります
500	142	もう少し検討したほうがよいと思います。	1	★	我认为还需要再研究一下。	報告・連絡・相談	
500	143	このまま進めてもよいと思います。	1	★★	我觉得可以继续推进。	報告・連絡・相談	
500	144	お気軽にご相談ください。	1	★	欢迎随时咨询。	報告・連絡・相談	お気軽に
500	145	以上、ご報告でした。	1	★★	以上就是我的汇报。	報告・連絡・相談	
500	146	最近はいかがですか。	1	★★	最近怎么样？	雑談・人間関係・自然	
500	147	週末はゆっくりできましたか。	1	★	周末休息得好吗？	雑談・人間関係・自然	できました
500	148	お昼はもう食べましたか。	1	★★	已经吃午饭了吗？	雑談・人間関係・自然	
500	149	今日は在宅勤務ですか。	1	★	今天是在家办公吗？	雑談・人間関係・自然	
500	150	出社されていますか。(尊敬語)	1	★	今天到公司了吗？	雑談・人間関係・自然	
500	151	お気をつけてお帰りください。	1	★	回家路上请注意安全。	雑談・人間関係・自然	
500	152	良い一日をお過ごしください。	1	★	祝您今天愉快。	雑談・人間関係・自然	
500	153	すみませんが、お願いできますか。	1	★★	不好意思，可以拜托您吗？	雑談・人間関係・自然	
500	154	お手数ですが、お願いします。	1	★★	麻烦您了。	雑談・人間関係・自然	お願いします
500	155	ご都合はいかがでしょうか。	1	★	您方便吗？	雑談・人間関係・自然	
500	156	少し考えさせてください。	1	★	请让我考虑一下。	雑談・人間関係・自然	
500	157	確認してからお返事します。	1	★★	确认后回复您。	雑談・人間関係・自然	
500	158	今回は見送ります。	1	★	这次先不做。	雑談・人間関係・自然	
500	159	ぜひお願いします。	1	★★	拜托了。	雑談・人間関係・自然	お願いします
500	160	お気になさらないでください。(しないで)	1	★	请不要介意。	雑談・人間関係・自然	
500	161	そうなんですね。	1	★★	原来是这样啊。	雑談・人間関係・自然	
500	162	勉強になりました。	1	★★	学到了。	雑談・人間関係・自然	
500	163	参考になります。	1	★★	很有参考价值。	雑談・人間関係・自然	
500	164	その考えに賛成です。	1	★★	我赞成这个想法。	雑談・人間関係・自然	
500	165	私も同じ意見です。	1	★	我也是这么认为的。	雑談・人間関係・自然	
500	166	一度試してみましょう。	1	★	先试试看吧。	雑談・人間関係・自然	
500	167	うまくいくといいですね。	1	★	希望一切顺利。	雑談・人間関係・自然	
500	168	応援しています。	1	★★	我支持您。	雑談・人間関係・自然	
500	169	コーヒーでも飲みませんか。	1	★★	一起喝杯咖啡吧？	雑談・人間関係・自然	
500	170	お昼をご一緒しませんか。	0	★	一起吃午饭吧？	雑談・人間関係・自然	
500	171	またお話ししましょう。	1	★	下次再聊。	雑談・人間関係・自然	
500	172	またお願いします。	1	★	下次也请多关照。	雑談・人間関係・自然	お願いします
500	173	お気をつけください。	1	★	请注意安全。	雑談・人間関係・自然	
500	174	その意味を教えていただけますか。	1	★	可以告诉我这个意思吗？	雑談・人間関係・自然	いただけますか
500	175	今向かっています。(むかう)	1	★	我现在过去。	雑談・人間関係・自然	
500	176	あと5分ほどで終わります。	1	★★	大约5分钟后结束。	雑談・人間関係・自然	
500	177	予定が変更になりました。	1	★★	计划有变更。	雑談・人間関係・自然	
500	178	今日中は難しそうです。	1	★★	今天之内恐怕有点困难。	雑談・人間関係・自然	
500	179	急ぎではありません。	2	★	不着急。	雑談・人間関係・自然	急ぎ、緊急、至急、応急、急いで、急に
500	180	優先して対応します。	1	★★	优先处理。	雑談・人間関係・自然	
500	181	ご安心ください。	1	★★	请放心。	雑談・人間関係・自然	
500	182	心配ありません。	1	★	不用担心。	雑談・人間関係・自然	
500	183	私のほうで対応します。	1	★	我来处理。	雑談・人間関係・自然	
500	184	その方向で進めましょう。	1	★★	按这个方向推进吧。	雑談・人間関係・自然	
500	185	ご不明な点はございますか。	1	★★	还有不明白的地方吗？	雑談・人間関係・自然	
500	186	何かございましたら、お知らせください。	1	★★	如有任何情况，请通知我。	雑談・人間関係・自然	
500	187	今日も一日お疲れ様でした。	1	★★	今天也辛苦了。	雑談・人間関係・自然	
500	188	良い週末をお過ごしください。	1	★	祝您周末愉快。	雑談・人間関係・自然	
500	189	お気を付けて行ってらっしゃい。	1	★	路上小心。	雑談・人間関係・自然	
500	190	お帰りなさい。	1	★★	欢迎回来。	雑談・人間関係・自然	
500	191	ただいま戻りました。	1	★	我回来了（回到办公室）。	雑談・人間関係・自然	
500	192	席を外しています。	1	★	他/她暂时不在座位。	雑談・人間関係・自然	外す
500	193	まもなく戻ります。	1	★	马上回来。	雑談・人間関係・自然	
500	194	少々席を外します。	1	★	我暂时离开一下座位。	雑談・人間関係・自然	外す
500	195	対応が終わりましたら、ご連絡します。	1	★★	处理完后联系您。	雑談・人間関係・自然	ご連絡します
300	196	少しお時間よろしいでしょうか。	1	★★	现在方便占用您一点时间吗？		よろしいでしょうか
300	197	今、お時間ありますでしょうか。	1	★★	您现在有时间吗？		
300	198	ご都合のよいタイミングで大丈夫です。	1	★★	您方便的时候即可。		
300	199	確認しております。	1	★★	正在确认。		ております
300	200	少々お時間をいただきます。	1	★★	需要一点时间。		
300	201	確認でき次第、ご連絡いたします。	1	★	确认后立即联系。		次第
300	202	こちらの認識でよろしいでしょうか。	1	★★	这样理解可以吗？		よろしいでしょうか
300	203	認識に相違はございませんか。	1	★★	双方理解一致吗？		違う、違い、間違い、相違、勘違い
300	204	一点質問があります。	1	★★	有一个问题。		があります
300	205	ご存じでしょうか。	1	★★	您知道吗？		
300	206	結果が分かり次第、ご報告いたします。	1	★★	结果出来后立即汇报。		次第
300	207	コメントをお願いいたします。	1	★★	请提出意见。		お願いいたします
300	208	この内容で進めてもよろしいでしょうか。	1	★★	按这个内容推进可以吗？		よろしいでしょうか
300	209	この認識で間違いないでしょうか。	1	★★	这样理解没有问题吧？		違う、違い、間違い、相違、勘違い
300	210	本日中の対応は可能でしょうか。		★★	今天之内可以处理吗？		
300	211	お急ぎでなければ、お手すきの際で大丈夫です。	2	★	如果不急，您有空时处理即可。		急ぎ、緊急、至急、応急、急いで、急に
300	212	ご対応済みでしたら、ご放念ください。		★	如果已经处理，请忽略。		
300	213	ご理解ありがとうございます。	1	★★	感谢您的理解。		ありがとうございます
300	214	お気遣いありがとうございます。（おきづかい）	1	★	感谢您的关心。		ありがとうございます
300	215	ご不明な点がございましたら、ご連絡ください。		★★	如有疑问，请联系我。		
300	216	お気軽にご連絡ください。	1	★	请随时联系。		お気軽に
300	217	現在、調査を進めています。		★★	目前正在调查。		
300	218	現在も調査を継続しています。		★★	目前仍在继续调查。		
300	219	追加で確認を進めます。		★	继续进行补充确认。		
300	220	現時点では大きな影響はありません。		★★	目前没有重大影响。		
300	221	現在は正常に動作しています。		★★	目前运行正常。		
300	222	修正を実施しました。		★★	已完成修正。		
300	223	結果をご共有いただけますでしょうか。	1	★★	请共享确认结果。		いただけます～
300	224	追加で修正します。		★★	我再追加修改。		
300	225	問題は確認されませんでした。		★	未发现问题。		
300	226	本番反映を予定しています。		★	计划部署到生产环境。		
300	227	現在、監視を継続しています。		★★	目前持续监控中。		
300	228	会議は予定どおり開始します。		★★	会议按计划开始。		
300	229	少し遅れます。申し訳ありません。	1	★★	我会稍微迟到，不好意思。		遅い、遅れる、遅延
300	230	先に始めていただいて大丈夫です。		★★	请先开始。		
300	231	決定事項をまとめます。		★★	整理一下决定事项。		
300	232	宿題事項を整理します。		★★	整理待办事项。		
300	233	本件についてご相談があります。	1	★★	关于此事想商量一下。		があります
300	234	別案もございます。		★★	还有另一个方案。		
300	235	こちらの案をおすすめします。		★★	建议采用这个方案。		
300	236	工数を確認いたします。		★★	我来确认工时。		
300	237	ベンダーへ確認いたします。		★★	向供应商确认。		
300	238	回答があり次第、ご共有します。	1	★★	有回复立即共享。		次第
300	239	本日中に回答予定です。		★★	预计今天回复。		
300	240	ご迷惑をおかけしております。	1	★★	给您添麻烦了。		ております、おかけし
300	241	お待たせしております。	1	★	让您久等了。		ております
300	242	その認識で問題ございません。		★★	这种理解没有问题。		
300	243	私のほうで確認します。		★★	我这边确认。		
300	244	お客様よりお問い合わせをいただいております。	1	★	客户提出了咨询。		合わせ、問い合わせ、ております
300	245	お客様のご要望を確認します。	1	★★	确认客户需求。		を確認します
300	246	お客様と認識合わせを行います。	1	★★	与客户统一理解。		合わせ
300	247	対応可否を確認いたします。		★★	确认是否可以处理。		
300	248	影響を確認したうえで回答いたします。		★★	确认影响后回复。		
300	249	できる限り早く確認いたします。		★★	会尽快确认。		
300	250	本件は優先して対応いたします。		★★	此事优先处理。		
300	251	至急対応いたします。（しきゅう）	2	★★	立即处理。		急ぎ、緊急、至急、応急、急いで、急に
300	252	緊急対応を開始します。	2	★★	开始紧急处理。		急ぎ、緊急、至急、応急、急いで、急に
300	253	復旧に向けて対応中です。		★	正在进行恢复工作。		
300	254	復旧見込みは○時です。		★	预计○点恢复。		
300	255	ご理解、ご協力のほどよろしくお願いいたします。	1	★★	感谢您的理解与配合。		お願いいたします
300	256	追加で確認事項がございます。		★	还有补充确认事项。		
300	257	一点ご相談がございます。		★★	有一件事想商量。		
300	258	現時点での結論をご共有します。		★★	共享目前的结论。		
300	259	現状ではこちらの対応を想定しています。		★	目前计划这样处理。		
300	260	他に懸念事項はございますか。		★★	还有其他担心的问题吗？		
300	261	追加のご要望がございましたら、お知らせください。		★	如果还有其他需求，请告诉我。		
300	262	優先順位を変更いたします。		★★	调整优先级。		
300	263	スケジュールを見直します。		★★	重新调整计划。		
300	264	納期への影響を確認します。	1	★	确认对交期的影响。		を確認します
300	265	遅延が見込まれます。	1	★	预计会延期。		遅い、遅れる、遅延
300	266	こちらの案でいかがでしょうか。		★★	这个方案您觉得如何？		
300	267	ご検討をお願いいたします。	1	★★	请您考虑。		お願いいたします
300	268	準備が整いました。		★★	准备完成。		
300	269	作業を開始いたします。		★★	开始作业。		
300	270	作業は予定どおり進んでいます。		★★	作业按计划进行。		
300	271	利用者への影響はございません。		★★	对用户没有影响。		
300	272	現在は安定稼働しております。	1	★★	目前运行稳定。		ております
300	273	引き続き監視を行います。	1	★★	继续监控。		引き続き
300	274	念のため経過を確認します。	1	★★	保险起见继续确认情况。		を確認します
300	275	迅速なご対応に感謝いたします。		★	感谢您的迅速处理。		
300	276	現時点では問題は確認されていません。		★	目前未发现问题。		
300	277	追加対応は不要と判断しました。		★★	判断无需追加处理。		
300	278	こちらの対応で完了となります。		★★	此次处理到此完成。		
300	279	何かご質問はございますか。		★★	还有什么问题吗？		
300	280	お気軽にお声がけください。	1	★	请随时联系我。		お気軽に
300	281	また何かございましたら、ご連絡ください。		★★	如果还有其他事情，请联系我。		
300	282	また明日よろしくお願いいたします。	1	★★	明天也请多关照。		お願いいたします
300	283	会議ありがとうございました。		★★	感谢今天的会议。		
300	284	資料ありがとうございました。		★★	感谢您提供资料。		
300	285	早速確認いたします。		★★	我马上确认。		
300	286	その内容で進めます。		★★	按这个内容推进。		
300	287	確認のうえ、ご連絡いたします。		★★	确认后联系您。		
300	288	ご多忙のところ恐れ入ります。（多忙）	1	★	百忙之中打扰了。		恐れ入ります、恐縮ですが
300	289	本件は以上となります。		★★	此事到此结束。		
300	290	本日も一日ありがとうございました。		★★	今天一天辛苦了，非常感谢。		
1200	291	少々お時間をください。	1	★★	请给我一点时间。	毎日のあいさつ・返事	をください
1200	292	少しお待ちいただけますか。	1	★★	可以稍等一下吗？	毎日のあいさつ・返事	いただけますか
1200	293	一旦確認します。	1	★★	我先确认一下。	毎日のあいさつ・返事	一旦
1200	294	今、お時間ありますか。		★★	现在有时间吗？	毎日のあいさつ・返事	
1200	295	一点確認させてください。		★★	请让我确认一点。	毎日のあいさつ・返事	
1200	296	とりあえず進めます。		★★	先推进吧。	毎日のあいさつ・返事	
1200	297	一旦ここまでにします。	1	★★	先到这里。	毎日のあいさつ・返事	一旦
1200	298	確かに。		★★	确实。	毎日のあいさつ・返事	
1200	299	そういうことですね。		★★	原来是这个意思。	毎日のあいさつ・返事	
1200	300	承知しております。	1	★★	我已经了解了。	毎日のあいさつ・返事	ております
1200	301	把握しております。	1	★★	我已经掌握情况了。	毎日のあいさつ・返事	ております
1200	302	認識しております。	1	★★	我了解这一情况。	毎日のあいさつ・返事	ております
1200	303	少しお時間をいただきます。		★	需要一点时间。	毎日のあいさつ・返事	
1200	304	再度確認します。	1	★★	再次确认。	毎日のあいさつ・返事	再度
1200	305	少し調べます。		★★	我查一下。	毎日のあいさつ・返事	
1200	306	進展がありましたらご連絡します。	1	★★	有进展会联系您。	毎日のあいさつ・返事	ご連絡します
1200	307	お願いしてもよろしいでしょうか。	1	★★	可以麻烦您吗？	毎日のあいさつ・返事	よろしいでしょうか
1200	308	恐れ入りますが、お願いします。	1	★	不好意思，麻烦您了。	毎日のあいさつ・返事	恐れ入ります、恐縮ですが
1200	309	ご確認いただけますか。	1	★★	可以帮我确认一下吗？	毎日のあいさつ・返事	いただけますか
1200	310	ご確認いただきありがとうございます。	1	★★	感谢您的确认。	毎日のあいさつ・返事	ありがとうございます
1200	311	ご意見をいただけますか。	1	★★	可以给我一些意见吗？	毎日のあいさつ・返事	いただけますか
1200	312	ご確認のほど、よろしくお願いいたします。	1	★★	麻烦您确认一下。	毎日のあいさつ・返事	お願いいたします
1200	313	少々お待ちいただけますでしょうか。	1	★★	可以稍等一下吗？	毎日のあいさつ・返事	いただけます～
1200	314	こちらで問題ないでしょうか。		★	这样可以吗？	毎日のあいさつ・返事	
1200	315	この認識で合っていますか。	1	★★	这样理解对吗？	毎日のあいさつ・返事	合っていますか
1200	316	もう一度ご説明いただけますか。	1	★★	可以再说明一次吗？	毎日のあいさつ・返事	いただけますか
1200	317	もう少し詳しく教えていただけますか。	1	★★	可以再详细说明一下吗？	毎日のあいさつ・返事	いただけますか
1200	318	少し教えていただけますか。	1	★★	可以教我一下吗？	毎日のあいさつ・返事	いただけますか
1200	319	その考え方は勉強になります。		★★	这种想法很值得学习。	毎日のあいさつ・返事	
1200	320	ありがとうございます。参考になりました。	1	★★	谢谢，很有帮助。	毎日のあいさつ・返事	ありがとうございます
1200	321	異論ありません。		★★	没有异议。	毎日のあいさつ・返事	
1200	322	質問してもよろしいでしょうか。	1	★★	可以提个问题吗？	毎日のあいさつ・返事	よろしいでしょうか
1200	323	差し支えなければ教えてください。		★	如果方便的话，请告诉我。	毎日のあいさつ・返事	
1200	324	可能でしたらお願いします。	1	★	如果可以的话，麻烦您。	毎日のあいさつ・返事	お願いします
1200	325	お急ぎでしょうか。	2	★★	这件事急吗？	毎日のあいさつ・返事	急ぎ、緊急、至急、応急、急いで、急に
1200	326	お時間あるときにご確認ください。	1	★★	有空时请确认。	Teams・チャット	ご確認ください
1200	327	お手すきの際にお願いします。	1	★	您有空的时候麻烦处理一下。	Teams・チャット	お願いします
1200	328	こちらで進めます。		★★	由我这边推进。	Teams・チャット	
1200	329	予定より少し遅れています。	1	★★	比计划稍微晚一点。	Teams・チャット	遅い、遅れる、遅延
1200	330	コメントありがとうございます。	1	★★	感谢您的意见。	Teams・チャット	ありがとうございます
1200	331	ご確認いただけると幸いです。	1	★★	如果您能确认一下就太好了。	Teams・チャット	幸い
1200	332	認識に相違があるようです。	1	★★	似乎存在理解差异。	Teams・チャット	違う、違い、間違い、相違、勘違い
1200	333	スクリーンショットをお願いできますか。	1	★★	可以提供截图吗？	Teams・チャット	お願いいたします
1200	334	確認後、改めてご連絡します。	2	★	确认后再联系您。	Teams・チャット	ご連絡します、改め、改めまして
1200	335	原因は権限設定でした。		★★	原因是权限设置。	Teams・チャット	
1200	336	権限を付与しました。		★★	已赋予权限。	Teams・チャット	
1200	337	対象データが見つかりません。	1	★★	未找到目标数据。	Teams・チャット	
1200	338	ダンプを確認します。	1	★★	确认Dump。	Teams・チャット	を確認します
1200	339	移送後に確認をお願いします。	1	★★	请在移送后确认。	Teams・チャット	お願いします
1200	340	問題が解消しました。		★★	问题已解决。	Teams・チャット	
1200	341	一部に影響があります。	1	★★	有部分影响。	報告・連絡・相談（報連相）	があります
1200	342	追加調査を実施します。		★★	进行进一步调查。	報告・連絡・相談（報連相）	
1200	343	本日中に対応予定です。		★★	预计今天处理。	報告・連絡・相談（報連相）	
1200	344	明日までに完了予定です。		★★	预计明天完成。	報告・連絡・相談（報連相）	
1200	345	遅れる理由をご説明します。	1	★★	说明延期原因。	報告・連絡・相談（報連相）	説明します
1200	346	追加でご報告します。		★★	补充汇报。	報告・連絡・相談（報連相）	
1200	347	現時点で判明している内容をご説明します。	1	★★	说明目前已确认的内容。	報告・連絡・相談（報連相）	説明します
1200	348	現時点では問題ありません。	1	★★	目前没有问题。	報告・連絡・相談（報連相）	問題ありません
1200	349	現時点では判断できません。		★★	目前无法判断。	報告・連絡・相談（報連相）	
1200	350	状況が変わりましたらご連絡します。	1	★★	情况有变化会联系您。	報告・連絡・相談（報連相）	ご連絡します
1200	351	新しい情報が入りました。		★★	有新的信息。	報告・連絡・相談（報連相）	
1200	352	追加の確認が必要です。		★★	需要进一步确认。	報告・連絡・相談（報連相）	
1200	353	追加で対応します。		★★	进一步处理。	報告・連絡・相談（報連相）	
